4.2.1,Tyre pressures recommended by the manufacturer: ,FALSE
4.2.1.1,Laden (kg/cm2 / kPa / psi),
4.2.1.2,Unladen (with driver) ( kg/cm2 / kPa / psi),
4.2.2,Tyre/wheel (rim) combinations,
4.2.3,Minimum-speed category symbol compatible with the theoretical maximum design speed of the vehicle,
4.2.4,Minimum load-capacity index with the maximum load on each tyre:,
4.2.5,Categories of use compatible for the vehicle,
4.3,Front wheel Rim,
4.3.1,Make ,
4.3.2,BIS license number ,
4.3.20,Part Number of of wheelrim supplier,
4.3.3,Size ,
4.3.4,Type (Alloy / Sheet metal / spoke),
4.4,Rear wheel Rim,
4.4.1,Make ,
4.4.2,BIS license number ,
4.4.3,Part Number of wheelrim supplier,
4.4.4,Size,
4.4.5,Type (Alloy / Sheet metal / spoke),
5,Steering,TRUE
5.1,Steering gear and control,
5.1.1,Type of steering control(handle bar/wheel),
5.1.2,Location of Steering Wheel ( centre / offset ),
5.1.3,Type of steering gear (Re-circulating ball /Worm & Roller / Rack & Pinion / others),
5.1.3.1,Make,
5.1.3.2,Steering gear ratio,
5.1.3.3,Maximum No. of rotation of steering wheel from lock to lock,
5.1.4,Brief description of the ECUs used in the steering system,
6,Braking,TRUE
6.1,Diagram of braking devices (Schematic Layout of Brake system),
6.1.1,Make of Brake system,
6.1.2,Type of Brake system (CBS/SSBS/Independent),
6.2,Front and rear  brakes, disc and/or drum (1) and their numbers,
6.2.1.,Make(s),
6.2.2.,Type(s)   ( Hydraulic / Mechanical / Other),
6.3,Parts of the brake system,
6.3.1,Shoes and/or pads (1),
6.3.2,Linings and/or pads (Indicate make, grade of material or identification mark) (1),
6.3.3,Brake levers and/or pedals(1),
6.3.4,Hydraulic reservoirs (where applicable),
6.3.5,Front and rear pad/liner dimensions,
6.3.6,Front and rear braking area,
6.3.7,Diameter of front and rear disc or drum,
6.3.8,ABS (Yes/No),
6.3.8.1,Directly controlled wheels (Front or rear),
6.3.8.2,Sensors (Make )(front /Rear),
6.3.8.2.1,Identification number(ID) / Part No./Drawing No.,
6.3.8.3,Make of modulator(front /rear),
6.3.8.3.1,Identification number(ID) / Part No./Drawing No.,
6.3.8.4,Make of ABS ECU,
6.3.8.4.1,Make of controller,
6.3.8.5,Identification number(ID) / Part No./Drawing No.,
6.4,Other devices (parking brake etc.)  (where applicable): drawing and description,
6.5,Brief description of the ECUs used in the braking system,
6.6,Brake hose – make(s) ,
6.6.1,TAC No / Part No of brake hose assembly,
6.7,Brake Fluid,
6.7.1,make(s),
6.7.2,Type of brake fluid as per IS / FMVSS,
6.8,Control cables (in case of 2 wheelers below 50cc),
6.8.1,Make,
6.8.2,Cable Diameter,
6.9,Type (drum/disc/leading/trailing),
6.9.1,Front,
6.9.2,Rear,
6.9.3,Other,
6.1,Service Control System (Operated by Hand/Foot),
6.10.1,Front,
6.10.2,Rear,
6.10.3,Combined,
6.10.4,Free play of control, mm,
6.10.4.1,Front,
6.10.4.2,Rear,
6.10.4.3,Combined,
6.11,Brake Pedal ratio,
6.12,Hand Lever Ratio,
6.13,Nominal Size of master cylinder (Dia. & stroke), mm,
